algorithm,reward_config,n_seeds,final_reward_mean,final_reward_std,success_rate_mean,timesteps_to_200_mean,timesteps_to_200_std,auc_mean,auc_std
ppo,none,3,46.19912043333331,218.21215570362102,0.5,200000.0,30000.0,68887888.80299999,72771737.33353792
ppo,distance,3,-119.76986923333334,61.73519116391701,0.0,,,-4465901.376666668,1413818.5067697736
ppo,angle,3,-62.20172323333335,149.2629909697852,0.06666666666666667,,,-3804680.6135000004,2544780.4209963814
ppo,combined,3,110.8693536,78.3139906981701,0.4333333333333333,,,-3467778.6003333335,1712038.1962196499
a2c,none,3,-354.1270027333333,167.16057807392016,0.0,,,-15052009.332500001,4325195.295331756
a2c,distance,3,-227.75443620000001,45.57892571757513,0.0,,,-19932525.537166666,7828269.544723088
a2c,angle,3,-222.80407316666665,66.14365558924415,0.0,,,-11059084.479833333,2071883.852900819
a2c,combined,3,-214.05396883333333,64.57788098703578,0.0,,,-14941630.162166664,3045638.190740853
sac,none,3,18.026190833333327,37.42591733011244,0.16666666666666666,,,-851530.8329999998,2077479.028623169
sac,distance,3,-27.53529089999999,122.52002800801884,0.13333333333333333,,,-2431101.106833333,2468395.5324802636
sac,angle,3,1.2890996666666676,152.9800840857898,0.19999999999999998,50000.0,0.0,-2376895.379666667,3509985.136424305
sac,combined,3,31.218444533333336,70.00750326586635,0.2333333333333333,,,-1434243.8018333334,2125531.6926769484
td3,none,3,-79.76428399999999,25.72912994500705,0.0,,,-3184049.2885000003,1435904.7010340407
td3,distance,3,-76.92701116666667,24.227419420413913,0.0,,,-5058997.589333333,1547667.2077052577
td3,angle,3,-108.00934170000001,38.0542105957844,0.0,,,-4498152.214166667,1157352.9120197417
td3,combined,3,-36.684274200000004,55.60674138489211,0.03333333333333333,,,-3900286.798833333,2759705.441947542
ddpg,none,3,-138.67336249999997,73.2187235837849,0.03333333333333333,,,-6262359.572,1565955.2943654596
ddpg,distance,3,-127.79392786666666,69.57249064350131,0.0,,,-4454757.457333333,1701234.7757736302
ddpg,angle,3,-218.29415186666665,157.2924001573017,0.0,,,-5260481.2135,2631616.192507171
ddpg,combined,3,-140.39394056666666,7.23425479204606,0.0,,,-7314630.0485000005,1778709.5845389657
