algorithm,reward_config,baseline_final_reward,shaped_final_reward,delta_final_reward,baseline_success_rate,shaped_success_rate,delta_success_rate,baseline_auc,shaped_auc,delta_auc,n_seeds
ppo,combined,-98.68602556666669,110.8693536,209.55537916666668,0.0333333333333333,0.4333333333333333,0.4,-8475891.360666666,-3467778.600333333,5008112.760333333,3
a2c,combined,-354.1270027333333,-214.05396883333333,140.07303389999998,0.0,0.0,0.0,-15052009.3325,-14941630.162166664,110379.17033333518,3
a2c,angle,-354.1270027333333,-222.80407316666663,131.3229295666667,0.0,0.0,0.0,-15052009.3325,-11059084.479833333,3992924.8526666667,3
a2c,distance,-354.1270027333333,-227.7544362,126.37256653333333,0.0,0.0,0.0,-15052009.3325,-19932525.537166663,-4880516.204666663,3
td3,combined,-79.76428399999999,-36.6842742,43.08000979999999,0.0,0.0333333333333333,0.0333333333333333,-3184049.2885000003,-3900286.798833333,-716237.5103333327,3
ppo,angle,-98.68602556666669,-62.20172323333335,36.48430233333334,0.0333333333333333,0.0666666666666666,0.0333333333333333,-8475891.360666666,-3804680.6135,4671210.747166666,3
a2c,velocity,-354.1270027333333,-338.06262603333334,16.06437669999997,0.0,0.0,0.0,-15052009.3325,-14577414.293833336,474595.0386666637,3
sac,combined,18.026190833333327,31.218444533333336,13.192253700000009,0.1666666666666666,0.2333333333333333,0.06666666666666671,-851530.8329999998,-1434243.8018333334,-582712.9688333337,3
ddpg,distance,-138.67336249999997,-127.79392786666666,10.879434633333304,0.0333333333333333,0.0,-0.0333333333333333,-6262359.572,-4454757.457333333,1807602.1146666668,3
td3,distance,-79.76428399999999,-76.92701116666667,2.8372728333333157,0.0,0.0,0.0,-3184049.2885000003,-5058997.589333333,-1874948.3008333328,3
ddpg,combined,-138.67336249999997,-140.39394056666666,-1.7205780666666897,0.0333333333333333,0.0,-0.0333333333333333,-6262359.572,-7314630.0485,-1052270.4764999999,3
sac,angle,18.026190833333327,1.2890996666666676,-16.73709116666666,0.1666666666666666,0.1999999999999999,0.0333333333333333,-851530.8329999998,-2376895.379666667,-1525364.5466666673,3
sac,velocity,18.026190833333327,-1.9639712333333343,-19.990162066666663,0.1666666666666666,0.3,0.1333333333333334,-851530.8329999998,-1725425.2533333332,-873894.4203333334,3
td3,angle,-79.76428399999999,-108.0093417,-28.245057700000004,0.0,0.0,0.0,-3184049.2885000003,-4498152.214166667,-1314102.925666667,3
ppo,velocity,-98.68602556666669,-135.6661726,-36.980147033333324,0.0333333333333333,0.0333333333333333,0.0,-8475891.360666666,-7732663.308333333,743228.0523333335,3
sac,distance,18.026190833333327,-27.53529089999999,-45.561481733333316,0.1666666666666666,0.1333333333333333,-0.0333333333333333,-851530.8329999998,-2431101.106833333,-1579570.2738333335,3
td3,velocity,-79.76428399999999,-142.4707482,-62.70646420000001,0.0,0.0,0.0,-3184049.2885000003,-9272616.675666666,-6088567.387166666,3
ppo,distance,-98.68602556666669,-163.78847983333335,-65.10245426666667,0.0333333333333333,0.0,-0.0333333333333333,-8475891.360666666,-5664161.3015,2811730.059166666,3
ddpg,angle,-138.67336249999997,-218.29415186666665,-79.62078936666668,0.0333333333333333,0.0,-0.0333333333333333,-6262359.572,-5260481.2135,1001878.3585000001,3
ddpg,velocity,-138.67336249999997,-223.1275415,-84.45417900000004,0.0333333333333333,0.0,-0.0333333333333333,-6262359.572,-6294636.838500001,-32277.266500000842,3
