#{"t_start": 1781623713.551399, "env_id": "LunarLanderContinuous-v3"}
r,l,t
-308.178438,90,1.332605
-438.222843,121,1.486431
-72.40316,71,1.568658
-466.687447,106,1.714734
-170.258785,127,1.883653
-342.094506,124,2.046797
-472.974954,139,2.243876
-65.34231,102,2.377068
-184.403579,75,2.479889
-258.182144,118,2.63038
-303.561677,72,2.718415
-425.92429,112,2.836802
-478.58382,186,3.073973
-370.556369,83,3.177278
-327.81165,87,3.294558
-379.854889,93,3.41835
-231.370168,98,3.547771
-172.421419,159,3.750864
-85.309468,89,5.330072
-222.252746,79,5.420988
-108.481421,86,5.50504
-372.704839,90,5.587695
-76.631826,87,5.670521
-476.003718,131,5.788222
-339.519162,90,5.87665
-410.335588,100,5.981187
-105.797527,110,6.105744
-485.362231,171,6.27663
-173.312273,108,6.396381
-53.912455,88,6.491396
-94.666392,74,6.576852
-463.799893,104,6.682
-327.433642,86,6.761265
-307.409951,90,6.862939
-424.598355,165,7.008333
-163.238616,141,7.159342
-282.365639,85,7.237355
-237.673251,85,7.325634
-192.632918,112,8.414887
-150.995094,95,8.525459
-248.825441,92,8.629198
-138.055624,114,8.767764
-23.319948,124,8.910326
-70.235356,77,8.983505
-408.316559,98,9.100837
-387.077551,161,9.265085
-13.11386,85,9.354041
-311.598076,126,9.478328
-61.739995,119,9.617178
-307.477459,112,9.757283
-218.003411,92,9.865914
-54.5138,82,9.960483
-118.009592,90,10.060784
-153.600241,114,10.181394
-435.731923,130,10.308792
-441.518481,102,10.4237
-438.206763,131,10.548751
-218.231846,181,11.74773
-82.046044,97,11.855477
-27.867607,91,11.946091
-156.916318,115,12.05956
-117.041798,114,12.18007
-158.020267,110,12.289904
-430.998057,143,12.45199
-421.708218,101,12.556113
-58.503946,161,12.720357
-349.608136,86,12.809811
-200.220832,143,12.951654
-153.415572,83,13.037143
-22.647577,78,13.120328
-94.7088,87,13.212886
-435.330309,129,13.341929
-37.660993,119,13.480074
-281.460035,92,13.576012
-181.962187,102,13.682669
-274.576036,126,14.843055
-87.622046,68,14.914551
-284.555154,98,15.011399
-335.603015,190,15.208773
-49.518388,75,15.278246
-172.545909,110,15.40155
-93.146743,85,15.490105
-103.803352,182,15.672298
-6.996182,164,15.83477
-228.344829,130,15.978359
-73.158958,145,16.147934
-541.889312,149,16.295921
-20.499848,83,16.3888
-228.865969,89,16.492041
-232.33767,125,16.63423
-316.253801,137,17.495311
-358.841263,142,17.663018
-183.583356,143,18.841245
-268.910599,132,18.994507
-189.226359,133,19.138923
-66.275004,95,19.233582
-84.121054,120,19.370479
-286.504276,180,19.571871
-76.586067,103,19.672727
-118.603924,112,19.776672
-301.697417,142,19.9226
-69.745629,96,20.025658
-54.378083,69,20.089036
-187.758014,126,20.216864
-108.847455,161,20.376897
-128.151353,133,20.518763
-71.709804,96,20.607486
-328.873557,150,20.762776
-196.145373,203,21.975373
2.333398,101,22.086056
-219.1259,125,22.218881
-187.715919,149,22.373197
-89.536823,92,22.481482
-121.724923,191,22.691212
-115.597802,151,22.839687
-318.651778,209,23.046841
-170.532056,146,23.207618
-220.049308,189,23.403391
-17.471316,173,23.606984
-102.78634,118,23.749895
-197.114459,549,25.373759
-36.076662,85,25.468916
-57.78502,131,25.594083
-46.768249,73,25.662481
-37.644397,168,25.836904
-127.660889,129,25.981158
-80.938825,158,26.166802
20.99732,178,26.349602
-242.226974,166,26.530317
-8.648688,193,26.716465
-96.523286,157,26.888901
8.358894,149,27.055108
-65.740844,109,27.184634
-29.727549,143,28.35562
-29.957728,121,28.490935
26.781571,85,28.592285
-33.568282,165,28.773522
-86.143592,105,28.891136
-71.257087,178,29.069066
-23.599057,91,29.163751
-42.046242,157,29.323315
-63.112596,197,29.534612
-72.931887,123,29.661575
-98.85257,153,29.822253
-130.160617,159,30.004135
-140.228871,732,31.870014
-32.324839,662,32.594385
8.404883,1000,34.630539
-115.587171,293,36.021086
-27.059239,170,36.201123
-31.906674,179,36.38668
-68.928891,203,36.614867
-163.566502,190,36.806955
-114.537976,113,36.927179
-197.872569,191,37.137883
-27.086207,124,37.264315
-192.698766,193,37.481948
-248.883038,379,37.877673
17.827432,1000,39.931961
-50.624124,188,40.140165
22.583051,1000,42.276983
27.481102,132,42.426389
-203.405084,800,43.277119
-44.035168,1000,44.365638
-40.57032,261,45.729146
50.617988,1000,46.811447
-5.285911,184,47.022224
-141.036471,217,47.265431
-40.671413,218,47.541295
50.928085,1000,49.740036
-83.494073,234,50.010268
51.051782,1000,52.656635
33.384869,212,54.005003
-15.166978,1000,55.08699
1.232241,190,55.279951
36.707526,1000,57.556153
22.954376,187,57.763623
-75.547661,301,58.091864
18.220955,248,58.355427
-199.821757,315,58.685343
-11.222462,144,58.848783
32.589404,247,59.131398
43.200515,159,59.303118
-308.723792,389,60.874153
2.66279,293,61.211915
80.21658,1000,62.308152
-121.526434,517,62.95819
94.09846,1000,65.12227
-7.861318,226,65.360619
120.572063,1000,67.607496
24.522294,187,67.806224
70.845446,1000,72.045548
2.396162,225,72.302835
86.843945,1000,74.639048
91.246611,1000,75.723769
36.509796,1000,77.945247
89.355531,1000,79.034499
125.314594,1000,81.169186
75.846658,1000,82.260487
90.260634,1000,84.519106
52.324837,1000,85.630979
-52.873154,380,86.04131
107.207133,1000,88.268839
132.35017,1000,94.22823
67.076579,1000,96.885799
17.107949,1000,98.273422
47.141748,1000,101.133745
129.941593,1000,102.544817
125.990622,1000,105.354931
115.428996,1000,106.450828
131.256314,1000,109.112218
126.237656,1000,110.595139
132.428665,1000,113.331698
60.688679,1000,117.882501
102.292273,1000,120.093295
81.256548,1000,121.060711
4.453277,198,121.257104
98.789183,1000,123.295816
133.381528,1000,124.322526
136.520453,1000,126.325819
42.266262,1000,127.342177
52.303354,1000,129.396854
72.048771,1000,130.403641
-152.464072,419,130.824919
-47.824799,305,132.189247
41.082102,1000,135.464723
-6.868939,334,135.841429
-146.097739,442,136.335299
-80.3935,329,137.717975
-16.900201,245,137.96191
-264.923467,579,138.553027
-80.619792,327,138.855068
112.467891,1000,140.876401
-120.286383,427,141.328735
-88.331871,297,141.617745
47.830528,1000,142.63034
-81.883239,363,143.969212
73.904756,1000,144.979466
-2.011699,1000,147.096791
179.576715,644,147.817087
120.237319,1000,148.920942
-50.598764,1000,153.757225
122.251092,1000,154.985707
-13.818621,251,156.32525
-19.920505,243,156.599379
125.558115,1000,157.732482
93.692978,1000,159.872489
24.178599,1000,160.976672
-126.83138,505,161.522371
-98.759048,341,162.864916
35.84178,1000,163.950345
-127.870078,440,164.413669
7.946561,186,164.610685
-120.806095,575,166.193917
-101.288389,552,166.79614
168.838211,384,167.196488
96.874934,1000,172.756435
-36.27201,255,173.023388
126.092912,1000,174.062121
150.00246,509,174.599206
161.983298,334,175.987862
-47.683536,262,176.270818
45.07722,1000,177.326095
134.094635,848,179.267539
94.167977,1000,180.322186
122.932257,1000,182.395512
-200.506526,939,183.367146
200.049935,377,183.786433
127.577389,1000,185.849495
94.593273,1000,186.90646
130.399874,849,192.527094
-82.742678,179,192.728111
-82.320695,286,193.040859
63.471523,1000,194.115047
163.498123,823,195.998877
79.11895,1000,197.12381
158.771323,663,198.919289
-71.626277,290,199.200358
-43.245794,224,199.426054
-70.60612,171,199.600819
90.333189,1000,200.67779
165.710327,451,202.2019
20.816048,1000,203.306341
-17.445338,313,203.644484
-54.010416,220,203.87692
155.577644,487,205.388786
-144.928909,301,205.716418
101.517217,1000,209.836848
53.543264,1000,212.150664
170.728806,589,212.778021
162.401165,706,213.536219
-42.791486,349,215.322158
65.677417,1000,216.717973
167.788167,1000,218.167803
-25.295801,215,219.878856
50.953343,1000,221.289177
135.954817,1000,224.291121
87.930666,1000,225.685665
96.512362,1000,228.529546
-48.916526,581,229.261584
96.231342,1000,233.192066
-72.044562,320,233.658905
151.333725,411,235.755581
155.479183,826,236.945115
117.004573,1000,239.721064
-145.072816,860,240.827868
81.455777,1000,242.191541
98.736329,1000,244.411927
-164.995195,753,245.197952
-73.235934,319,245.519386
168.455141,785,247.39525
76.290906,1000,248.408643
105.095076,1000,250.474615
106.555735,1000,255.613118
74.705162,1000,257.831089
134.231094,599,258.463575
38.974667,1000,260.599656
82.223236,1000,261.627426
38.317232,1000,263.705708
163.128803,565,264.303359
-89.951599,326,264.640681
-130.635613,379,265.032884
-100.4685,544,265.588291
-66.65702,205,266.829041
109.103729,1000,267.883594
-41.197638,314,268.206858
91.181143,1000,270.299294
142.704562,483,274.901587
-99.097129,336,275.340871
98.683255,904,277.912216
82.49277,642,278.83657
163.770329,496,279.559134
91.610338,584,280.416848
70.698337,1000,283.274353
130.985578,763,284.29198
95.431535,1000,287.043854
107.602516,1000,288.415516
90.823965,1000,291.29628
122.491888,713,292.263933
142.689666,460,292.929718
88.473544,1000,300.338432
187.561258,327,300.81224
171.57905,406,301.392527
-9.591198,324,301.862821
184.143272,547,303.649441
145.653114,395,304.091034
-143.542476,838,305.026535
155.109059,448,305.535633
68.966324,1000,307.710869
129.83649,1000,308.826186
-30.72409,262,309.13942
101.948039,1000,311.305483
185.173126,371,311.708219
120.77632,1000,313.884205
119.028741,1000,314.898589
182.985579,385,315.312697
113.531125,1000,320.040071
85.336118,779,321.026473
93.545318,1000,323.403169
150.26655,1000,324.527919
197.972066,429,325.067023
159.951537,362,326.546315
122.135101,1000,327.657789
124.029174,1000,329.840448
119.48885,1000,330.956364
101.532528,1000,332.048149
147.306571,1000,334.251099
224.38421,318,334.587779
-25.104478,260,334.884955
186.028119,363,335.281766
197.42034,490,339.597806
185.112129,683,340.42169
128.472754,1000,341.61501
134.595105,1000,343.827308
100.350303,1000,344.958096
-14.714388,303,346.409135
119.66598,1000,347.509616
194.851942,487,348.090101
99.070358,1000,350.344505
87.442145,1000,351.464285
171.648425,533,353.101644
181.202023,560,353.674969
-9.971712,220,353.92658
98.433679,1000,357.621628
138.892043,1000,360.36764
165.810862,414,360.970121
111.541666,1000,363.643982
175.24233,1000,364.767285
199.395821,300,365.118251
204.54527,344,365.539007
84.818792,1000,367.735298
183.06616,781,368.602561
86.273315,1000,370.771641
122.325922,1000,371.855571
186.372926,425,372.335489
187.571903,341,373.824379
145.827186,1000,374.921689
178.118352,399,377.834304
112.599662,1000,380.063946
228.2038,433,380.529896
115.374,1000,382.682883
118.752602,1000,383.801718
143.248531,1000,385.949291
157.250862,367,386.355406
78.744417,1000,387.441931
221.841245,379,387.846528
80.448144,1000,389.931518
143.750828,1000,391.045395
-5.583113,405,392.577374
113.475231,1000,393.658332
227.281662,424,396.471058
119.856981,1000,398.757289
214.420685,347,399.161981
178.166455,327,399.524319
196.108077,371,399.931107
92.365,1000,402.163379
-34.854022,201,402.386117
121.498496,1000,403.471518
177.665595,265,403.745118
93.15267,1000,405.940594
149.702066,1000,407.09129
215.312003,338,408.684189
-120.305229,314,409.009799
138.074424,1000,410.16053
-48.767961,221,410.440341
95.221138,1000,412.64753
-33.782966,261,412.914201
138.842119,1000,416.21289
-112.271885,261,417.638947
141.079142,1000,418.727885
137.59285,452,419.216846
116.440193,1000,421.425867
234.770916,884,422.342266
-39.49499,217,422.556632
142.388158,1000,424.714176
181.270341,362,425.10071
201.067367,716,425.873224
119.317792,1000,428.064019
83.916399,1000,429.12933
89.987883,1000,431.386331
-3.115067,238,431.617673
86.3467,1000,434.789616
103.578074,1000,437.009813
-48.449792,263,437.290906
-114.776389,237,437.545499
188.537813,528,438.136574
203.210618,310,439.635095
168.982848,526,440.218365
161.482793,1000,441.364733
-44.469018,214,441.607496
13.34568,258,441.902756
-74.412344,234,443.314267
-88.404668,232,443.540443
84.380796,1000,444.673394
162.067571,1000,446.981282
133.290282,1000,448.113887
139.255021,1000,450.382508
183.785122,376,452.842772
222.839423,660,453.691565
177.256921,341,454.088635
203.12017,354,455.63819
207.026529,477,456.197413
135.808922,1000,457.299271
196.477445,543,459.005028
-11.124949,260,459.285441
178.287841,290,459.600479
105.947771,1000,460.701592
4.137408,257,460.999227
178.035316,404,462.52721
-2.341283,238,462.764916
95.37534,1000,463.841987
194.123514,375,464.244727
236.174227,396,465.808865
118.567127,1000,466.853393
157.86962,1000,469.08924
100.556055,1000,472.340414
196.753287,235,472.686976
173.309247,326,473.136653
127.877874,1000,475.422271
212.444323,259,475.697544
-62.740587,293,476.014095
131.706765,1000,478.098331
186.427414,397,478.505423
-69.38181,230,478.72757
212.585422,280,478.986938
192.017014,378,479.34438
89.783682,1000,481.312993
-22.919584,219,481.534668
136.077372,1000,482.555366
146.545389,1000,484.582219
-15.021767,281,484.863751
-9.139597,217,485.095364
126.491513,1000,486.138608
138.954379,1000,490.365468
199.407424,281,490.661384
135.286817,1000,492.826327
110.986624,1000,493.83201
-3.049716,195,494.012464
179.731758,290,494.28633
113.966657,1000,496.293446
128.521817,1000,497.323622
200.359458,290,497.618601
110.035033,1000,499.683713
106.509384,1000,500.712876
127.733304,1000,502.749166
1.880495,195,502.939214
209.895783,323,503.288539
-13.175319,225,503.515934
200.508748,1000,507.58546
-20.383061,182,507.7749
18.615239,211,507.975156
147.19753,1000,508.996991
180.008491,862,510.888096
214.684715,309,511.209185
132.753723,1000,512.248876
181.09553,303,513.578486
215.346752,253,513.834301
31.056853,239,514.064831
124.580637,1000,515.10455
193.406113,349,516.518034
132.903094,1000,517.573648
209.41038,292,517.88836
207.333419,525,518.419564
181.432643,283,519.783473
-22.745522,222,520.025724
10.95623,202,520.246466
160.767354,1000,521.328483
125.742049,1000,525.479415
125.262222,1000,526.530113
142.727273,523,527.083565
200.014216,351,528.515282
194.585794,299,528.83022
221.499322,446,529.317297
144.758004,1000,531.436137
178.181795,1000,532.45531
205.340087,796,533.320274
168.952012,501,534.838809
213.325644,295,535.17398
133.392304,1000,536.213263
217.923008,284,536.52897
217.491489,708,538.316136
200.762423,417,538.775704
248.065352,417,539.230886
190.814146,315,541.988289
230.003012,503,543.649554
117.809702,1000,544.711503
174.792111,403,545.184853
104.159432,1000,547.407873
110.762814,1000,548.496061
131.44877,1000,550.608717
101.251518,1000,551.651075
154.361733,355,552.015776
244.166448,303,553.444435
89.150031,1000,554.493197
109.387806,1000,555.602535
229.43662,408,557.050295
142.47348,1000,560.440702
232.480388,335,560.864659
3.024259,287,561.248489
220.008979,312,562.650676
227.114597,337,563.004871
15.612405,211,563.254971
222.30622,429,563.711143
237.066437,944,565.852484
254.531723,367,566.266445
149.413403,1000,567.409967
152.080199,1000,569.578114
233.739834,309,569.927544
146.214263,1000,571.032929
21.889365,278,572.403743
203.933062,359,572.777067
218.274599,321,573.117011
213.526717,333,573.515206
215.626527,517,574.087613
186.12595,550,575.827961
254.566804,939,576.808373
211.903783,749,579.773669
115.87474,1000,581.975299
109.785232,1000,583.046165
288.060978,970,585.24712
114.221767,1000,586.325469
218.717352,322,586.716349
217.507711,282,588.228859
119.11515,1000,589.356973
243.949608,649,590.090035
248.681393,855,592.074989
203.409923,373,592.49171
226.635757,519,593.086579
190.212381,638,594.784283
241.092579,389,595.24609
246.946457,380,597.745675
115.048659,1000,598.954316
218.662091,303,600.346166
205.520791,279,600.627376
219.907374,332,601.003103
188.990455,329,601.382522
234.896334,284,601.692161
269.781467,679,602.444031
113.736105,1000,604.5658
124.291734,1000,605.667448
252.354822,390,607.129826
129.070536,1000,608.198191
254.430278,364,608.618294
101.105549,1000,610.793738
198.391787,307,611.134677
267.010467,686,611.886704
131.030277,1000,615.987808
249.746249,314,616.412439
217.706343,296,616.778725
242.536,304,617.163393
-2.748579,236,617.45236
202.975161,365,619.054472
113.814508,1000,620.191893
212.223438,407,620.637112
117.396474,1000,622.836715
221.85906,770,623.697048
235.375737,519,624.294871
226.206382,547,625.962183
217.259122,350,626.325734
203.187838,402,626.725224
225.540994,566,627.32108
215.544511,305,627.634125
234.744428,375,629.053686
107.807357,1000,630.109951
204.060631,490,630.623461
235.050843,442,632.128206
210.846812,296,634.415629
259.935224,284,634.722618
205.614743,323,635.091863
203.172098,334,635.475018
230.872173,329,635.826623
254.211071,332,636.200433
248.382607,332,637.646788
246.275126,302,637.964797
177.550588,501,638.498136
15.973568,211,638.712396
129.854385,1000,640.781444
14.348042,257,641.060715
117.92055,1000,642.075952
240.073539,291,642.363279
174.772249,434,643.88392
222.417104,301,644.195834
37.381146,222,644.430243
222.023144,255,644.696339
224.757584,347,645.05087
196.927149,294,645.366805
222.778316,479,645.830981
258.419099,377,647.225011
239.873375,385,647.611989
140.878018,1000,648.654826
264.072326,257,648.912319
162.999852,470,652.224273
124.109681,1000,653.339951
202.466716,533,653.907205
141.485995,1000,655.991751
205.139834,872,656.88453
10.061907,239,657.132951
253.280708,439,658.635381
136.529734,1000,659.692893
9.409128,313,660.023561
235.282592,310,660.343516
256.514272,280,661.636872
213.689918,344,661.982149
242.425792,383,662.379701
253.342347,312,662.692211
169.316498,327,663.025352
228.953345,463,664.501379
253.945797,666,665.224509
0.281768,265,665.52121
235.228041,294,665.839278
133.710532,1000,670.226934
130.512437,1000,671.345173
-30.995481,228,671.591617
250.993009,334,671.92833
227.497246,267,672.20788
159.648853,607,673.935351
238.038688,435,674.401438
31.930499,234,674.668961
212.989405,322,675.044371
253.738913,411,675.523196
216.564576,365,677.005193
254.636829,445,677.506807
220.589143,342,677.868497
280.088852,263,678.15513
121.367388,1000,680.265638
146.847701,1000,681.400603
15.613455,188,681.615955
246.619597,316,681.973605
11.954211,223,682.211301
225.492849,278,683.62697
246.657541,231,683.851738
35.632562,198,684.074311
-22.576801,204,684.278978
219.749013,285,684.582515
222.760348,345,684.981851
212.271201,285,687.378365
220.848222,316,688.785397
224.047052,302,689.130147
218.865957,294,689.474607
229.487004,281,689.774318
226.907743,265,690.077063
118.133816,1000,692.123558
243.079358,337,692.487063
210.828486,283,692.768419
218.405137,279,693.071928
237.631626,259,693.352538
147.912223,627,694.036314
124.147695,1000,696.179312
228.478165,373,696.562997
